coefficient,mean,std,min,p25,median,p75,max,iqr
b_Intercept,51.428124978146805,5.50308904382163,40.158496535615306,47.617743064110144,51.13616395743438,55.92993833232046,60.660195937208414,8.312195268210317
b_Med_income,-8.709806939457376e-05,3.1111130065491533e-05,-0.0001397688439853578,-0.00011256598965118037,-8.24944171046486e-05,-6.055358292681507e-05,-3.616171805981821e-05,5.2012406724365304e-05
b_mobility_PC1,-0.24693570843835133,0.20473081923987985,-0.5443883079802104,-0.3836714420337731,-0.2747373303358759,-0.12407046111223896,0.17756444543989475,0.25960098092153416
b_percent_Black,-0.09064013758479635,0.012244710258759967,-0.10850989240792054,-0.10199554850970435,-0.09106198461739565,-0.0812903179295364,-0.06883533393919036,0.02070523058016796
b_percent_Hispanic,-0.10718254136724789,0.048379154555324266,-0.16100119055587295,-0.13918673465862183,-0.12812185921714958,-0.08901118314767903,0.014937144800191779,0.0501755515109428
b_percent_Poverty,0.04577161450788609,0.06563379945457419,-0.03684135992933758,-0.01388646926110647,0.027097986873416198,0.10834708256494573,0.16702650283640832,0.1222335518260522
b_percent_Unemployed,-0.17744027409768867,0.08233029415100322,-0.3395667906281116,-0.2393036715899189,-0.16925263596354853,-0.10545895083190289,-0.057456451750447474,0.133844720758016
b_percent_Uninsured,-0.04925675614701558,0.08504786792103837,-0.22995710083923748,-0.1014508598303807,-0.02210449945938352,0.0038636914113487878,0.0740593697481908,0.10531455124172949
b_percent__18,-0.23468850247034784,0.03356991936353185,-0.2946227057657103,-0.2553309705976589,-0.24484398509578903,-0.22377266156090025,-0.14870340883341038,0.03155830903675866
b_percent__HighSch,-0.04824812069300169,0.02535086527469336,-0.08694930076023846,-0.06811137203061593,-0.053828257119217585,-0.03142709314186473,0.01745066196615134,0.0366842788887512
