section,variable,estimate,std_err,z_value,p_value
parameters,CONSTANT,0.8304362627161339,5.907173067752987,0.14058099418983525,0.8882009635504815
parameters,B19083_001E:Gini Index,7.531771841180214,12.622788112095343,0.5966805252765955,0.5507206972512908
parameters,W_pm25_mean_2019,0.41692372308217124,0.15776713949249305,2.642652484055525,0.008225941601629897
parameters,rho,0.41692372308217124,,,
fit_stats,n,44.0,,,
fit_stats,k,3.0,,,
fit_stats,log_likelihood,-93.07717794657006,,,
fit_stats,aic,192.15435589314012,,,
fit_stats,bic_schwarz,197.5069247948949,,,
fit_stats,pseudo_r2,0.19762089946474173,,,
fit_stats,sigma2,3.8174389565713995,,,
