B19083_001E:Gini Index,state_fips,county_fips,year,source
0.4719,06,047,2019,ACS 2019
0.4234,06,043,2019,ACS 2019
0.4003,06,049,2019,ACS 2019
0.4672,06,013,2019,ACS 2019
0.4104,06,027,2019,ACS 2019
0.4396,06,099,2019,ACS 2019
0.4815,06,083,2019,ACS 2019
0.4656,06,103,2019,ACS 2019
0.4150,06,051,2019,ACS 2019
0.4054,06,069,2019,ACS 2019
0.4538,06,067,2019,ACS 2019
0.4556,06,017,2019,ACS 2019
0.4570,06,053,2019,ACS 2019
0.5099,06,075,2019,ACS 2019
0.4627,06,073,2019,ACS 2019
0.4728,06,107,2019,ACS 2019
0.4841,06,023,2019,ACS 2019
0.4930,06,003,2019,ACS 2019
0.4422,06,039,2019,ACS 2019
0.4819,06,087,2019,ACS 2019
0.4638,06,105,2019,ACS 2019
0.4572,06,065,2019,ACS 2019
0.4375,06,071,2019,ACS 2019
0.5178,06,041,2019,ACS 2019
0.4467,06,061,2019,ACS 2019
0.4588,06,089,2019,ACS 2019
0.4207,06,095,2019,ACS 2019
0.4554,06,011,2019,ACS 2019
0.4442,06,021,2019,ACS 2019
0.4944,06,007,2019,ACS 2019
0.4272,06,031,2019,ACS 2019
0.4667,06,063,2019,ACS 2019
0.4496,06,079,2019,ACS 2019
0.4746,06,019,2019,ACS 2019
0.4668,06,029,2019,ACS 2019
0.4685,06,059,2019,ACS 2019
0.4455,06,111,2019,ACS 2019
0.4414,06,009,2019,ACS 2019
0.4530,06,101,2019,ACS 2019
0.4849,06,081,2019,ACS 2019
0.4832,06,109,2019,ACS 2019
0.4529,06,077,2019,ACS 2019
0.4490,06,005,2019,ACS 2019
0.4817,06,033,2019,ACS 2019
0.4260,06,115,2019,ACS 2019
0.4171,06,035,2019,ACS 2019
0.4536,06,097,2019,ACS 2019
0.4704,06,025,2019,ACS 2019
0.4616,06,001,2019,ACS 2019
0.4712,06,055,2019,ACS 2019
0.4594,06,091,2019,ACS 2019
0.4928,06,113,2019,ACS 2019
0.4697,06,057,2019,ACS 2019
0.4704,06,045,2019,ACS 2019
0.5002,06,037,2019,ACS 2019
0.4664,06,085,2019,ACS 2019
0.4772,06,093,2019,ACS 2019
0.4743,06,015,2019,ACS 2019
