type,term,estimate,std_error_HC1,t_stat_HC1,p_value_HC1,ci95_low_HC1,ci95_high_HC1,diagnostic_value
coefficient,const,39.74014241700678,4.1362012694963886,9.607884101308596,4.683951911895269e-12,31.38691449126719,48.09337034274637,
coefficient,SES_index,-0.9662787825435739,0.26792973936346254,-3.606463339378536,0.0008343913965005133,-1.507373868387766,-0.42518369669938194,
coefficient,percent_>=18,-0.1928743919850131,0.053997272219819537,-3.5719284337148265,0.0009226583940183153,-0.3019240955250146,-0.08382468844501162,
coefficient,percent_Black,-0.0950822655328126,0.014804396022764836,-6.422569714198665,1.0840919707375882e-07,-0.12498034984342554,-0.06518418122219966,
coefficient,percent_Hispanic,-0.1965299849543469,0.054819387793717304,-3.5850452342495998,0.0008881255395029302,-0.30723998457827284,-0.08581998533042094,
diagnostic,n_obs,,,,,,,46.0
diagnostic,r_squared,,,,,,,0.6703826780068812
diagnostic,adj_r_squared,,,,,,,0.6382248904953574
diagnostic,aic,,,,,,,130.72118601374996
diagnostic,bic,,,,,,,139.86439299619545
diagnostic,f_stat,,,,,,,20.846666698281055
diagnostic,f_p_value,,,,,,,1.9399334955537973e-09
diagnostic,rmse,,,,,,,0.8987487788148215
diagnostic,mae,,,,,,,0.7162710609259786
diagnostic,durbin_watson,,,,,,,1.3136638372109155
diagnostic,jarque_bera_stat,,,,,,,0.07503088273447206
diagnostic,jarque_bera_p_value,,,,,,,0.9631795447969275
diagnostic,omnibus_stat,,,,,,,0.5177326725152664
diagnostic,omnibus_p_value,,,,,,,0.7719261946924091
diagnostic,resid_skew,,,,,,,0.037282304876648985
diagnostic,resid_kurtosis,,,,,,,3.1832666540480727
diagnostic,breusch_pagan_lm_stat,,,,,,,4.8975390205830465
diagnostic,breusch_pagan_lm_p_value,,,,,,,0.29797311741833393
diagnostic,breusch_pagan_f_stat,,,,,,,1.2213325860491653
diagnostic,breusch_pagan_f_p_value,,,,,,,0.3166188648884724
diagnostic,condition_number,,,,,,,2865.1592679260066
