OBJECTID,FIPSTXT,FIPSNUM,State,County,RuralUrbanContinuumCode2013,UrbanInfluenceCode2013,Metro2013,Nonmetro2013,Micropolitan2013,Type_2015_Update,Type_2015_Farming_NO,Type_2015_Manufacturing_NO,Type_2015_Mining_NO,Type_2015_Government_NO,Type_2015_Recreation_NO,Low_Education_2015_update,Low_Employment_2015_update,Population_loss_2015_update,Retirement_Destination_2015_Update,HiAmenity,HiCreativeClass2000,Shape_Length,Shape_Area
184,06001,6001,CA,Alameda,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,2.3710610082566927,0.19677601107654943
185,06003,6003,CA,Alpine,8,4,0,1,0,5,0,0,0,0,1,0,0,0,0,1.0,1.0,1.936866600698198,0.1959225104343539
186,06005,6005,CA,Amador,6,4,0,1,0,4,0,0,0,1,0,0,1,0,0,1.0,1.0,2.531224372705521,0.15918917158858684
187,06007,6007,CA,Butte,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,3.8514207238973532,0.4522519536851287
188,06009,6009,CA,Calaveras,6,6,0,1,0,5,0,0,0,0,1,0,1,0,0,1.0,1.0,2.6062195672760406,0.27507093241380076
189,06011,6011,CA,Colusa,6,4,0,1,0,1,1,0,0,0,0,1,0,0,0,1.0,0.0,2.8169925196680268,0.3143903855150297
190,06013,6013,CA,Contra Costa,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,2.1809163454795075,0.1978333996463005
191,06015,6015,CA,Del Norte,7,8,0,1,1,4,0,0,0,1,0,1,1,0,0,1.0,0.0,2.6498233028710314,0.2874179928981542
192,06017,6017,CA,El Dorado,1,1,1,0,0,5,0,0,0,0,1,0,0,0,0,1.0,1.0,3.24154486669749,0.4801686044505772
193,06019,6019,CA,Fresno,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,7.86205911065035,1.5524960744015852
194,06021,6021,CA,Glenn,6,6,0,1,0,1,1,0,0,0,0,1,1,0,0,1.0,0.0,3.099746474674971,0.3575555517957547
195,06023,6023,CA,Humboldt,5,8,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,4.51149769453578,0.9892191821208765
196,06025,6025,CA,Imperial,3,2,1,0,0,4,0,0,0,1,0,1,1,0,0,1.0,0.0,4.940228579243101,1.1200415504352488
197,06027,6027,CA,Inyo,7,11,0,1,0,5,0,0,0,0,1,0,0,0,0,1.0,0.0,8.29851012455296,2.6337135685460593
198,06029,6029,CA,Kern,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1.0,0.0,7.111259176650181,2.101073021880778
199,06031,6031,CA,Kings,3,2,1,0,0,4,0,0,0,1,0,1,1,0,0,1.0,0.0,2.77462833930748,0.3580286039171664
200,06033,6033,CA,Lake,4,5,0,1,1,0,0,0,0,0,0,0,1,0,0,1.0,0.0,3.187315029126404,0.3545671035722298
201,06035,6035,CA,Lassen,7,8,0,1,1,4,0,0,0,1,0,1,1,0,0,1.0,0.0,5.842898704618313,1.2937654220370969
202,06037,6037,CA,Los Angeles,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0,6.285003361464063,1.0429445515186615
203,06039,6039,CA,Madera,3,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1.0,0.0,4.2422681378864775,0.560109660444913
204,06041,6041,CA,Marin,1,1,1,0,0,5,0,0,0,0,1,0,0,0,0,1.0,1.0,1.898227219207964,0.14406985815300904
205,06043,6043,CA,Mariposa,8,7,0,1,0,5,0,0,0,0,1,0,1,0,0,1.0,0.0,3.0218608075601234,0.3932717480083903
