GEOID,Depression_prev,Med_income,percent_Poverty,percent_Unemployed,percent_Uninsured,percent_>=HighSch,percent_>=18,percent_Black,percent_Hispanic,Full_Service_Restaurant,Sport_facilities,Parks,Fastfood_Restaurant,Convenience,Supermarket,Warehouse,Fruit,TobaccoStore,DrinkingPlaces,total_visits,share_Full_Service_Restaurant,share_Sport_facilities,share_Parks,share_Fastfood_Restaurant,share_Convenience,share_Supermarket,share_Warehouse,share_Fruit,share_TobaccoStore,share_DrinkingPlaces,mobility_diversity
0500000US45001,22.2,45710.0,14.8,2.1,11.6,83.7,79.7,26.87289734963485,1.702633954213506,74375.0,4592.0,20977.0,77593.0,59588.0,28900.0,38099.0,140.0,1652.0,4789.0,310705.0,0.2393749698266844,0.014779292254711,0.0675142015738401,0.2497320609581435,0.191783202716403,0.0930142739897973,0.1226211358040585,0.0004505881784972,0.005316940506268,0.0154133341915965,1.8235625749463147
0500000US45003,20.2,57572.0,12.5,3.9,9.7,89.3,78.3,24.55532744205421,6.018625963283644,590526.0,50509.0,215367.0,456556.0,240353.0,220885.0,315936.0,1285.0,22070.0,48227.0,2161714.0,0.2731748973268434,0.0233652555333406,0.0996278878704583,0.2112009266720759,0.1111863086421238,0.1021804919614713,0.1461506933849713,0.0005944357116621,0.0102094911722827,0.0223096117247702,1.8948581352210478
0500000US45005,18.1,31800.0,25.4,7.3,11.4,76.2,80.4,73.21772639691714,3.600674373795761,7254.0,412.0,3769.0,10867.0,10680.0,4277.0,6822.0,4.0,80.0,1181.0,45346.0,0.1599700083800114,0.0090856966435848,0.0831164821593966,0.2396462753054293,0.2355224275570061,0.0943192343315838,0.1504432585013011,8.821064702509593e-05,0.0017642129405019,0.0260441935341595,1.8402399418850899
0500000US45007,22.0,56796.0,12.9,3.2,10.8,85.8,77.1,15.292523600183957,4.0465228979888535,838530.0,166128.0,281526.0,853651.0,323288.0,263036.0,423776.0,6463.0,27859.0,92957.0,3277214.0,0.2558667209404085,0.0506918376401419,0.0859040636345383,0.2604807009856543,0.098647204607328,0.080262076263558,0.129309834511875,0.0019721019133935,0.0085008180729119,0.0283646414301904,1.9105113271601706
0500000US45009,19.6,44408.0,19.3,4.6,14.7,77.6,80.0,60.08133086876156,2.269870609981516,20008.0,2863.0,10066.0,20742.0,11744.0,6043.0,14048.0,32.0,204.0,3380.0,89130.0,0.2244810950297318,0.0321216201054639,0.1129361606641983,0.2327162571524739,0.131762593963873,0.067799842926063,0.1576124761584202,0.0003590261415909,0.0022887916526422,0.0379221362055424,1.9129723285276794
0500000US45011,20.4,38237.0,25.5,4.3,13.1,81.4,76.1,45.88240949954329,2.658526032402289,54867.0,2009.0,34738.0,61351.0,27476.0,22079.0,45350.0,64.0,1042.0,7031.0,256007.0,0.2143183584823852,0.0078474416715167,0.1356916021827528,0.2396457909354041,0.107325190326827,0.0862437355228568,0.1771435937298589,0.0002499931642494,0.0040702012054357,0.027464092778713,1.8622273003359493
0500000US45013,16.6,74199.0,9.8,2.0,9.6,93.4,81.5,16.724101781115763,11.20441703806846,679790.0,218077.0,284872.0,374149.0,110273.0,235165.0,230529.0,2047.0,27012.0,118819.0,2280733.0,0.2980576858404732,0.0956170669692594,0.1249037042038677,0.1640476987003739,0.0483498068384155,0.1031093950935949,0.1010767152490011,0.0008975184732276,0.0118435608201398,0.0520968478116465,1.9667442102803208
0500000US45015,18.8,70786.0,10.2,2.6,10.5,89.6,76.1,23.27428983212192,7.077213241639459,718931.0,120105.0,542490.0,542522.0,178846.0,267118.0,366778.0,3019.0,10132.0,130765.0,2880706.0,0.2495676407102981,0.0416929044477291,0.1883184191653018,0.188329527553315,0.0620840863316145,0.0927265746660714,0.1273222605847316,0.0010480069816218,0.0035171933546845,0.0453933862046317,1.9306439187963174
0500000US45017,19.7,52491.0,18.3,2.8,9.4,86.1,80.8,39.71686152979293,3.965347232004508,23711.0,3543.0,13439.0,28474.0,16198.0,13663.0,15643.0,76.0,276.0,6797.0,121820.0,0.1946396322442948,0.0290838942702347,0.1103185027089147,0.2337383024133968,0.1329666721392218,0.1121572812346084,0.1284107699885076,0.0006238712855032,0.0022656378263011,0.0557954358890165,1.9610310909412219
0500000US45019,19.2,70807.0,11.6,2.4,9.8,92.9,80.3,25.24558830066231,5.307621263081992,1474251.0,295616.0,1535259.0,809202.0,255968.0,462032.0,414423.0,4253.0,37379.0,374947.0,5663330.0,0.2603152209036026,0.0521982649783784,0.2710876816290062,0.1428844866889268,0.0451974368436944,0.081583096870569,0.0731765586677802,0.0007509716015135,0.0066001804591997,0.0662061013573286,1.8903996620850354
