GEOID,Depression_prev,Med_income,percent_Poverty,percent_Unemployed,percent_Uninsured,percent_>=HighSch,percent_Black,percent_Hispanic,percent_>=18,SES_index
0500000US45001,22.2,45710.0,14.8,2.1,11.6,83.7,26.87289734963485,1.702633954213506,79.7,0.1356933739348468
0500000US45003,20.2,57572.0,12.5,3.9,9.7,89.3,24.55532744205421,6.018625963283644,78.3,0.5436268403532153
0500000US45005,18.1,31800.0,25.4,7.3,11.4,76.2,73.21772639691714,3.600674373795761,80.4,-1.9744110711552891
0500000US45007,22.0,56796.0,12.9,3.2,10.8,85.8,15.292523600183957,4.0465228979888535,77.1,0.3807554092012569
0500000US45009,19.6,44408.0,19.3,4.6,14.7,77.6,60.08133086876156,2.269870609981516,80.0,-1.1697334108035782
0500000US45011,20.4,38237.0,25.5,4.3,13.1,81.4,45.88240949954329,2.658526032402289,76.1,-1.1819635516092402
0500000US45013,16.6,74199.0,9.8,2.0,9.6,93.4,16.724101781115763,11.20441703806846,81.5,1.5481529862963581
0500000US45015,18.8,70786.0,10.2,2.6,10.5,89.6,23.27428983212192,7.077213241639459,76.1,1.0854274314730321
0500000US45017,19.7,52491.0,18.3,2.8,9.4,86.1,39.71686152979293,3.965347232004508,80.8,0.27445435259003126
0500000US45019,19.2,70807.0,11.6,2.4,9.8,92.9,25.24558830066231,5.307621263081992,80.3,1.2816759775692474
0500000US45021,22.2,41330.0,16.6,4.0,12.1,83.3,19.717457832182763,4.739876165397481,76.9,-0.46798947243919875
0500000US45023,20.6,46441.0,16.7,3.2,11.3,84.6,36.99377188361789,2.2371641929786508,77.4,-0.08657013971385184
0500000US45025,19.6,45046.0,19.1,4.6,12.1,80.0,31.04340854426756,4.6340625357920056,77.8,-0.7931367081915706
0500000US45027,18.9,45542.0,18.4,5.2,10.4,79.8,46.15506279062412,3.2739695694809097,80.7,-0.7213931820788683
0500000US45029,20.4,41419.0,17.0,3.4,14.0,86.0,35.92159916926272,3.6292834890965735,77.5,-0.4150996028748528
0500000US45031,21.4,40704.0,19.2,3.3,8.7,84.8,41.31130484132864,2.263805905443539,77.6,-0.07502297737107151
0500000US45033,21.2,39780.0,26.1,3.6,13.5,78.7,47.351631787429454,2.941073369088933,74.6,-1.2093709220608218
0500000US45035,20.5,68046.0,10.4,3.5,11.1,90.4,24.498688974903235,5.875265326507679,75.5,0.8311986445712651
0500000US45037,19.7,55183.0,15.6,3.5,9.0,82.1,34.050427943557715,6.264939471046341,82.1,0.15807587451878113
0500000US45039,18.7,41755.0,16.5,3.3,7.6,84.5,56.83470216180496,2.407250070801473,81.2,0.1581123310935384
0500000US45041,19.8,51902.0,16.9,2.7,10.3,86.3,42.74818613595967,2.869401789096419,76.2,0.2748112232849259
0500000US45043,19.2,55719.0,15.8,3.6,10.8,89.7,30.4498983997968,3.2004064008128017,82.0,0.3320308635719489
0500000US45045,19.7,65513.0,10.2,2.5,10.4,89.7,16.930802152633586,9.657959312605696,76.8,1.0243646705007627
0500000US45047,21.0,44513.0,14.5,3.3,8.8,86.0,31.835357235570683,6.361591046756468,77.2,0.2607839957597623
0500000US45049,19.2,38298.0,18.4,5.6,10.3,81.5,52.72793467519634,4.311645082436157,78.3,-0.8407097534055146
0500000US45051,21.0,54688.0,13.9,3.3,14.2,91.1,12.6046423963,6.205616690589071,82.1,0.21174818529953207
0500000US45053,18.5,47811.0,15.7,4.2,13.9,88.8,38.962733138243486,13.792617142051265,80.1,-0.25513789521500435
0500000US45055,20.9,56449.0,13.7,3.2,10.1,89.8,23.196233208696857,4.930065087937958,76.7,0.5921495246386342
0500000US45057,21.0,67407.0,11.9,2.8,8.5,87.9,19.91590335224452,5.944872323117069,78.3,1.0110110558324592
0500000US45059,23.4,46754.0,19.5,3.6,13.6,82.1,22.85697265741348,5.365759218442843,77.9,-0.623395656340367
0500000US45061,18.6,36195.0,20.2,3.7,11.3,82.3,62.45666467423789,2.55827854154214,80.7,-0.6423954837401379
0500000US45063,22.4,65623.0,11.2,3.0,9.6,90.4,14.856559133150284,6.31112390863936,76.8,0.9885022992163671
0500000US45065,17.1,53193.0,15.7,2.6,5.4,83.5,44.42821368948247,0.8034223706176963,88.4,0.6966750531020252
