GEOID,Depression_prev
0500000US45061,18.6
0500000US45029,20.4
0500000US45039,18.7
0500000US45023,20.6
0500000US45091,20.6
0500000US45021,22.2
0500000US45083,23.1
0500000US45057,21.0
0500000US45071,20.6
0500000US45055,20.9
0500000US45005,18.1
0500000US45049,19.2
0500000US45077,24.5
0500000US45075,19.2
0500000US45065,17.1
0500000US45031,21.4
0500000US45033,21.2
0500000US45073,21.6
0500000US45045,19.7
0500000US45059,23.4
0500000US45087,22.6
0500000US45003,20.2
0500000US45025,19.6
0500000US45011,20.4
0500000US45019,19.2
0500000US45047,21.0
0500000US45007,22.0
0500000US45013,16.6
0500000US45027,18.9
0500000US45041,19.8
0500000US45015,18.8
0500000US45001,22.2
0500000US45063,22.4
0500000US45037,19.7
0500000US45053,18.5
0500000US45067,19.1
0500000US45079,19.8
0500000US45051,21.0
0500000US45089,19.3
0500000US45081,20.8
0500000US45017,19.7
0500000US45043,19.2
0500000US45085,19.9
0500000US45069,20.1
0500000US45009,19.6
0500000US45035,20.5
