GEOID,Asthma_prev,nearest_hw_dist_m,hw_count_5km
1400000US37003040200,10.1,4549.374560276976,1
1400000US37007920100,11.1,6415.426200409436,0
1400000US37005950200,10.3,3919.3527491779855,1
1400000US37013930200,10.2,7108.8887698468325,0
1400000US37001021400,9.5,8250.769727476856,0
1400000US37009970800,9.3,6732.787062622623,0
1400000US37001021201,10.8,3012.4998245575302,3
1400000US37007920600,11.0,10416.92684249664,0
1400000US37001021205,9.6,1259.5454627530146,7
1400000US37001021101,10.1,504.82614033874034,12
1400000US37001021207,10.1,1812.8577288851168,6
1400000US37009970400,9.4,4248.466569254405,2
1400000US37001022002,10.4,10164.112481249816,0
1400000US37001020602,8.5,1402.5188296066992,26
1400000US37007920300,9.4,4366.281131100932,1
1400000US37001021500,9.5,7867.594991812929,0
1400000US37009970500,9.5,2320.2770909955134,3
1400000US37005950100,10.1,8101.887494493178,0
1400000US37001021703,9.0,2590.933120950549,13
1400000US37001020100,10.4,119.14097400139929,27
1400000US37001020901,9.3,732.6487938003086,23
1400000US37011930400,8.9,8950.495166028311,0
1400000US37009970300,10.1,16613.844523888372,0
1400000US37001021702,10.2,1011.627735362882,19
1400000US37001021902,9.2,16150.810145503883,0
1400000US37013930400,10.7,1825.037736906023,7
1400000US37001021701,7.8,1558.472015657664,10
1400000US37001021803,9.8,9463.664120034144,0
1400000US37001020300,10.8,1042.12624065183,16
1400000US37005950300,9.7,11469.467703101847,0
1400000US37011930200,8.8,5909.414567367704,0
1400000US37003040300,9.7,5992.178138356946,0
1400000US37007920500,10.5,3959.622364857098,2
1400000US37003040600,9.1,2413.213603205383,1
1400000US37001020501,9.9,1199.799496242287,19
1400000US37003040700,9.3,1326.0157658056364,1
1400000US37007920200,10.7,994.5703090824068,1
1400000US37001020801,9.9,1257.6285096753093,25
1400000US37007920400,12.3,5717.908527186592,0
1400000US37009970700,8.7,5190.924915816047,0
1400000US37001021102,10.2,1471.8303001340028,8
1400000US37013930300,12.0,640.1900936146145,7
1400000US37001021801,9.1,5309.214830355068,0
1400000US37003040100,9.8,8401.386388961784,0
1400000US37009970200,9.8,14401.338756080078,0
1400000US37001021206,9.4,903.8859581164346,6
1400000US37001021300,10.0,10906.183350597534,0
1400000US37001021600,10.8,3942.1988076559087,6
1400000US37001020601,8.1,1065.5310542683667,27
1400000US37001022001,9.6,5209.415329994237,0
1400000US37001021000,12.3,871.8836710682518,18
1400000US37001021802,9.6,10845.88392482786,0
1400000US37011930302,10.1,12481.24543409998,0
1400000US37011930301,10.0,9715.055711499665,0
1400000US37001021901,9.5,5559.794611935943,0
1400000US37003040500,9.8,4065.371256660412,3
1400000US37001020400,11.8,2799.327835590877,11
1400000US37013930100,10.0,25805.545651237,0
1400000US37001020701,9.2,994.3943120446136,30
1400000US37003040400,10.2,7269.414873715186,0
1400000US37001021204,9.7,3273.3489860672066,3
1400000US37001020200,11.7,1255.182908996361,24
1400000US37001020802,12.3,582.8977219615722,26
1400000US37001020702,10.9,565.5211839474789,26
1400000US37001020502,11.2,1061.296340572851,14
1400000US37001020902,9.4,2854.254122125309,12
1400000US37011930100,10.1,15865.252688768338,0
1400000US37021002000,9.9,166.7789145639693,25
1400000US37063000900,11.8,642.8511544714705,22
1400000US37051001601,9.9,637.6564993677345,6
1400000US37025042200,8.9,1865.1228322951529,6
1400000US37027030100,11.3,1256.5136059956792,17
1400000US37037020600,10.0,4542.533757033576,1
1400000US37039930602,9.6,19948.21376063605,0
1400000US37045950500,10.6,1267.5024365095628,4
1400000US37063001301,11.8,218.3935890669877,23
1400000US37057060400,9.6,2498.994664534246,5
1400000US37045951300,9.4,1833.915119951769,7
1400000US37015960100,10.5,14974.01845007791,0
1400000US37021002603,10.4,9845.540525002752,0
1400000US37049961201,10.2,2064.338976271537,3
1400000US37035010501,8.3,661.2243620793627,25
1400000US37021000300,10.3,276.2782886721926,26
1400000US37023021201,9.9,5681.328615197486,0
1400000US37031970103,9.6,9203.23612377443,0
1400000US37051003403,10.5,3658.793199629473,2
1400000US37035011102,9.2,2322.1324670619997,13
1400000US37035010202,9.6,2126.24433287631,13
1400000US37051003314,10.5,2011.56094473566,3
1400000US37051002100,9.8,395.0598561555889,27
1400000US37047931200,10.5,3382.2778480498173,1
1400000US37063001604,8.0,3409.472479107848,4
1400000US37025042502,9.4,1655.0243434333297,20
1400000US37051001700,10.7,1993.2994163479057,18
1400000US37063002009,11.3,996.4483633247722,22
1400000US37031970504,8.6,2835.857720911886,3
1400000US37017950200,11.0,15024.376173207373,0
1400000US37051001604,10.2,2395.661113089205,7
1400000US37059080500,9.7,3782.751269100807,2
1400000US37051000701,8.4,1164.315806931372,29
1400000US37027030300,10.9,1146.9406311433945,15
1400000US37035011801,9.0,2264.7498686486138,1
1400000US37037020500,9.7,14064.594574649844,0
1400000US37021002203,9.6,1064.250322936099,17
1400000US37019020505,10.4,10173.22271438848,0
1400000US37051003205,9.8,3207.573355101259,4
1400000US37063002015,9.6,383.43581341095626,18
1400000US37057061400,12.5,359.43830966706383,8
1400000US37051003311,10.5,1316.1955632945824,9
1400000US37023020802,9.9,2851.319311681228,5
1400000US37021002900,9.4,3977.141162402502,1
1400000US37035010302,8.7,3693.2097612069774,5
1400000US37035010401,9.7,1858.0872710123335,20
1400000US37049961001,8.3,10397.621317063333,0
1400000US37013930900,9.4,10403.232362609036,0
1400000US37037020800,8.8,3001.957219585014,1
1400000US37021001500,9.7,1319.3163616414693,18
1400000US37051003204,10.5,2744.068973041377,10
1400000US37013930501,9.8,3472.675490899751,1
1400000US37037020300,9.5,4531.8697235355,1
1400000US37055970300,8.8,3080.2396873207194,2
1400000US37057061300,10.4,1257.181090283949,9
1400000US37063001400,13.8,548.3103251145486,23
1400000US37057060201,9.6,3479.590691330733,1
1400000US37063001801,10.5,1393.8827775794102,4
1400000US37031970602,8.5,3486.8714155768766,1
1400000US37061090701,10.2,2875.073207582225,1
1400000US37063001809,9.4,1321.3844708807137,33
1400000US37019020508,8.2,4031.215402243592,1
1400000US37057060602,9.0,2087.433814795332,21
1400000US37063001601,9.0,2973.0562134192564,6
1400000US37023020201,10.1,13859.36563844976,0
1400000US37063001710,10.1,944.5220436583784,15
1400000US37025042401,8.9,1575.677831099477,11
1400000US37037020702,9.1,5977.876270505696,0
1400000US37021002804,8.7,5851.921808508326,0
1400000US37061090400,10.5,2290.3789546624944,2
1400000US37047930400,10.6,8055.732186909129,0
