GEOID,Asthma_prev,nearest_hw_dist_m,hw_count_5km,ratio_poverty,ratio_uninsured,med_income,ratio_black,ratio_hispanic
1400000US37003040200,10.1,4549.374560276976,1,10.3,7.8,48623.0,4.42455242966752,4.245524296675192
1400000US37007920100,11.1,6415.426200409436,0,14.8,7.0,34745.0,48.43286044209832,0.0
1400000US37005950200,10.3,3919.3527491779855,1,26.9,10.6,32388.0,3.7456211263810295,12.880625168418216
1400000US37013930200,10.2,7108.8887698468325,0,18.6,19.8,50572.0,21.774193548387096,6.192939744370055
1400000US37001021400,9.5,8250.769727476856,0,12.5,9.1,53372.0,4.839883551673944,5.058224163027656
1400000US37009970800,9.3,6732.787062622623,0,18.8,11.1,40800.0,0.0,4.680932365303783
1400000US37001021201,10.8,3012.4998245575302,3,10.2,21.6,37429.0,26.954177897574123,19.245283018867926
1400000US37007920600,11.0,10416.92684249664,0,9.0,11.2,40680.0,42.84572342126299,14.441779909405808
1400000US37001021205,9.6,1259.5454627530146,7,9.8,4.6,54333.0,27.67203513909224,5.329428989751098
1400000US37001021101,10.1,504.82614033874034,12,10.6,6.7,43098.0,29.94849153789551,5.702722590139809
1400000US37001021207,10.1,1812.8577288851168,6,12.9,7.9,57625.0,7.105868814729574,10.845799769850403
1400000US37009970400,9.4,4248.466569254405,2,15.7,12.0,42266.0,0.8948101014118115,6.780672101809506
1400000US37001022002,10.4,10164.112481249816,0,11.1,12.1,45049.0,7.889413351314903,15.801303663744662
1400000US37001020602,8.5,1402.5188296066992,26,5.1,4.8,65893.0,3.7149355572403335,6.482183472327521
1400000US37007920300,9.4,4366.281131100932,1,13.4,9.8,50659.0,26.74759871931697,4.255602988260406
1400000US37001021500,9.5,7867.594991812929,0,7.8,7.7,58071.0,7.668067226890757,4.873949579831933
1400000US37009970500,9.5,2320.2770909955134,3,20.8,16.9,35753.0,1.781126905292002,6.199691728035623
1400000US37005950100,10.1,8101.887494493178,0,26.1,12.2,42318.0,0.2914743745445713,7.165411707554044
1400000US37001021703,9.0,2590.933120950549,13,5.6,7.4,69870.0,14.216604244694132,2.6997503121098627
1400000US37001020100,10.4,119.14097400139929,27,20.8,11.3,34205.0,28.04337111877772,9.462789551503205
1400000US37001020901,9.3,732.6487938003086,23,11.6,10.4,46522.0,11.890780974750442,21.667645331767467
1400000US37011930400,8.9,8950.495166028311,0,11.5,10.8,44157.0,9.462738301559792,4.852686308492201
1400000US37009970300,10.1,16613.844523888372,0,24.9,15.0,40227.0,0.0,0.4663816556548776
1400000US37001021702,10.2,1011.627735362882,19,35.8,5.6,67875.0,6.829691795688034,7.292721747938071
1400000US37001021902,9.2,16150.810145503883,0,6.4,11.0,62813.0,16.477410002416043,2.126117419666586
1400000US37013930400,10.7,1825.037736906023,7,30.6,5.5,30547.0,42.14648602878916,4.085520745131245
1400000US37001021701,7.8,1558.472015657664,10,2.7,1.6,82963.0,9.324009324009324,1.5442890442890442
1400000US37001021803,9.8,9463.664120034144,0,6.8,15.2,50179.0,3.9741219963031424,3.265557609365373
1400000US37001020300,10.8,1042.12624065183,16,17.3,21.3,40239.0,28.89189189189189,44.054054054054056
1400000US37005950300,9.7,11469.467703101847,0,18.3,10.9,38304.0,3.4276729559748427,9.21383647798742
1400000US37011930200,8.8,5909.414567367704,0,7.0,17.4,47522.0,1.7035775127768311,0.5536626916524702
1400000US37003040300,9.7,5992.178138356946,0,12.6,5.2,48306.0,1.8963337547408343,0.316055625790139
1400000US37007920500,10.5,3959.622364857098,2,24.7,12.6,37962.0,60.88753144089113,1.0420409629895797
1400000US37003040600,9.1,2413.213603205383,1,10.5,5.4,49978.0,9.698681732580038,0.4865034526051475
1400000US37001020501,9.9,1199.799496242287,19,12.2,13.0,53929.0,13.275726630007856,14.4802304268133
1400000US37003040700,9.3,1326.0157658056364,1,9.5,8.7,69338.0,0.0,2.4476036933900045
1400000US37007920200,10.7,994.5703090824068,1,17.4,13.9,45234.0,49.22913343965976,4.57203615098352
1400000US37001020801,9.9,1257.6285096753093,25,8.0,11.0,50655.0,17.218543046357617,17.03792895845876
1400000US37007920400,12.3,5717.908527186592,0,25.7,13.0,26753.0,82.51968503937009,0.0
1400000US37009970700,8.7,5190.924915816047,0,8.2,8.7,53401.0,0.5162523900573613,3.537284894837476
1400000US37001021102,10.2,1471.8303001340028,8,22.1,12.1,33715.0,24.04274265360641,9.85455624814485
1400000US37013930300,12.0,640.1900936146145,7,27.9,13.7,27050.0,42.03015616585891,21.24394184168013
1400000US37001021801,9.1,5309.214830355068,0,11.7,12.5,59561.0,5.187319884726225,2.573075339645945
1400000US37003040100,9.8,8401.386388961784,0,14.4,17.7,53909.0,4.483738553836438,0.6315124723713293
1400000US37009970200,9.8,14401.338756080078,0,18.1,12.5,38169.0,0.7099391480730223,6.25422582826234
1400000US37001021206,9.4,903.8859581164346,6,10.1,9.6,62623.0,27.003380393716448,8.013521574865779
1400000US37001021300,10.0,10906.183350597534,0,8.8,8.9,61203.0,28.148886673313395,4.187437686939183
1400000US37001021600,10.8,3942.1988076559087,6,11.7,8.3,53342.0,11.690718919634582,5.732821395471998
1400000US37001020601,8.1,1065.5310542683667,27,4.2,2.5,89306.0,0.9315772566655958,3.629938965628011
1400000US37001022001,9.6,5209.415329994237,0,6.6,7.0,62453.0,11.770524233432244,11.449060336300692
1400000US37001021000,12.3,871.8836710682518,18,40.2,19.4,23947.0,35.95898974743686,24.706176544136035
1400000US37001021802,9.6,10845.88392482786,0,9.7,9.5,52132.0,2.8319529788939355,0.4541811381244991
1400000US37011930302,10.1,12481.24543409998,0,20.8,12.6,36552.0,0.1948558067030397,1.363990646921278
1400000US37011930301,10.0,9715.055711499665,0,18.9,22.9,31180.0,0.8302583025830259,8.979089790897909
1400000US37001021901,9.5,5559.794611935943,0,7.9,9.5,71639.0,3.7559659680431614,5.16704710520855
1400000US37003040500,9.8,4065.371256660412,3,10.3,10.8,39367.0,1.097491448118586,14.18187001140251
1400000US37001020400,11.8,2799.327835590877,11,26.8,16.6,32773.0,58.58286391935962,21.0495108212274
1400000US37013930100,10.0,25805.545651237,0,13.4,7.6,42730.0,29.75306163421,5.741818911865088
1400000US37001020701,9.2,994.3943120446136,30,8.8,6.9,55715.0,11.321134124271063,9.149406796702191
1400000US37003040400,10.2,7269.414873715186,0,13.5,7.9,39489.0,16.314154710841592,5.235911847359858
1400000US37001021204,9.7,3273.3489860672066,3,12.1,8.3,56515.0,15.47427652733119,10.269292604501608
1400000US37001020200,11.7,1255.182908996361,24,33.0,16.8,29797.0,29.24505252870755,28.389934033716106
1400000US37001020802,12.3,582.8977219615722,26,27.0,25.3,28391.0,37.54860524091293,35.36770921386306
1400000US37001020702,10.9,565.5211839474789,26,24.8,11.2,34102.0,31.329690346083787,17.911353976927746
1400000US37001020502,11.2,1061.296340572851,14,22.3,16.1,38775.0,34.72083748753739,23.454636091724826
1400000US37001020902,9.4,2854.254122125309,12,7.6,7.6,62500.0,12.11332755131541,9.135588320323793
1400000US37011930100,10.1,15865.252688768338,0,22.0,15.6,40134.0,1.84873949579832,7.450980392156863
1400000US37021002000,9.9,166.7789145639693,25,16.3,17.1,41574.0,25.34905367669873,3.0251318647223084
1400000US37063000900,11.8,642.8511544714705,22,22.4,28.8,32500.0,53.80116959064327,29.239766081871345
1400000US37051001601,9.9,637.6564993677345,6,13.1,14.2,48634.0,31.1084305052942,8.604744672295938
1400000US37025042200,8.9,1865.1228322951529,6,9.6,6.2,64327.0,10.217945089159354,6.113784319275403
1400000US37027030100,11.3,1256.5136059956792,17,22.4,23.2,26737.0,25.40381791483113,17.217327459618208
1400000US37037020600,10.0,4542.533757033576,1,11.9,14.6,52431.0,15.654520917678813,5.8415268941584735
1400000US37039930602,9.6,19948.21376063605,0,14.4,10.7,42568.0,0.0,1.851851851851852
1400000US37045950500,10.6,1267.5024365095628,4,21.0,14.0,34292.0,25.4380664652568,2.02416918429003
1400000US37063001301,11.8,218.3935890669877,23,25.1,23.1,31683.0,82.41678726483357,12.807525325615051
1400000US37057060400,9.6,2498.994664534246,5,14.7,11.8,53304.0,0.0,4.010073614877954
1400000US37045951300,9.4,1833.915119951769,7,16.1,8.5,48720.0,7.74818401937046,8.820477343479764
1400000US37015960100,10.5,14974.01845007791,0,15.0,13.1,42672.0,48.13034188034188,0.6054131054131053
1400000US37021002603,10.4,9845.540525002752,0,21.1,12.8,36557.0,1.964379256155055,6.469355683603981
1400000US37049961201,10.2,2064.338976271537,3,9.4,4.6,41667.0,9.903622465935529,17.68029245596544
1400000US37035010501,8.3,661.2243620793627,25,4.6,8.0,77179.0,7.259528130671507,1.6593207155820584
1400000US37021000300,10.3,276.2782886721926,26,31.4,8.9,44551.0,20.617696160267112,1.961602671118531
1400000US37023021201,9.9,5681.328615197486,0,23.7,13.8,40347.0,0.0,2.121374865735768
1400000US37031970103,9.6,9203.23612377443,0,25.8,16.8,51995.0,0.0,0.0
1400000US37051003403,10.5,3658.793199629473,2,13.0,1.5,36958.0,17.63892091307355,26.631311966797327
1400000US37035011102,9.2,2322.132467062,13,12.9,14.3,54118.0,7.756485464737323,14.43097379741885
1400000US37035010202,9.6,2126.24433287631,13,13.5,10.9,54968.0,5.023839981393186,11.919990696592626
1400000US37051003314,10.5,2011.56094473566,3,17.5,11.4,52836.0,52.927277500656345,16.40850616959832
1400000US37051002100,9.8,395.0598561555889,27,15.2,13.8,43191.0,27.81974472518885,9.976556394894503
1400000US37047931200,10.5,3382.2778480498173,1,20.0,11.7,38566.0,35.04407165197612,5.885698038100654
1400000US37063001604,8.0,3409.472479107848,4,5.3,1.9,104314.0,12.411847672778562,3.05594734367654
1400000US37025042502,9.4,1655.0243434333297,20,12.5,22.8,51944.0,29.172932330827063,7.781954887218045
1400000US37051001700,10.7,1993.2994163479057,18,19.5,11.5,42260.0,35.45524268653446,14.144844965487016
1400000US37063002009,11.3,996.4483633247722,22,21.6,16.0,35247.0,72.80285035629454,19.67537608867775
1400000US37031970504,8.6,2835.857720911886,3,8.2,9.7,77250.0,2.63724434876211,16.146393972012916
1400000US37017950200,11.0,15024.376173207373,0,27.5,21.7,36004.0,28.428525330751857,11.971603743142948
1400000US37051001604,10.2,2395.661113089205,7,12.7,5.7,53064.0,41.908048810550966,12.85591026747196
1400000US37059080500,9.7,3782.751269100807,2,15.4,10.2,50472.0,9.94606256742179,11.45631067961165
1400000US37051000701,8.4,1164.315806931372,29,10.9,7.6,74050.0,9.327947117150202,7.932427469702534
1400000US37027030300,10.9,1146.9406311433945,15,22.9,15.9,34538.0,12.78177458033573,9.016786570743406
1400000US37035011801,9.0,2264.7498686486138,1,10.0,13.3,59688.0,6.056338028169014,2.0774647887323945
1400000US37037020500,9.7,14064.594574649844,0,12.9,11.1,49438.0,10.176503033645892,4.660783232211804
1400000US37021002203,9.6,1064.250322936099,17,13.0,11.4,41392.0,15.195303680289005,19.21426958681418
1400000US37019020505,10.4,10173.22271438848,0,20.8,17.9,41995.0,19.26156583629893,5.093416370106762
1400000US37051003205,9.8,3207.573355101259,4,10.8,5.5,59783.0,46.78899082568808,11.536209252391178
1400000US37063002015,9.6,383.43581341095626,18,23.7,24.8,43180.0,27.116014480262024,26.63333907946906
1400000US37057061400,12.5,359.43830966706383,8,40.1,31.0,19959.0,43.07545367717288,20.78955746577523
1400000US37051003311,10.5,1316.1955632945824,9,14.6,21.0,38140.0,49.53206239168111,16.08318890814558
1400000US37023020802,9.9,2851.319311681228,5,13.8,17.5,36904.0,11.342527441598648,4.249929636926541
1400000US37021002900,9.4,3977.141162402502,1,8.8,17.0,49091.0,0.0,0.9438909281594128
1400000US37035010302,8.7,3693.2097612069774,5,10.9,5.4,57458.0,7.30522297414541,7.947249696338712
1400000US37035010401,9.7,1858.0872710123333,20,13.6,13.4,41584.0,11.517671517671518,16.90921690921691
1400000US37049961001,8.3,10397.621317063333,0,5.9,3.7,91941.0,9.336609336609335,4.823004823004823
1400000US37013930900,9.4,10403.232362609036,0,15.5,8.7,64432.0,20.26995578310449,2.5599255294391434
1400000US37037020800,8.8,3001.957219585014,1,6.6,6.1,65282.0,16.742032730404823,4.726528854435832
1400000US37021001500,9.7,1319.3163616414693,18,24.0,20.8,44514.0,1.364810033198082,20.84101807451125
1400000US37051003204,10.5,2744.068973041377,10,16.2,11.4,49658.0,41.41390016718415,13.924050632911392
