GEOID,B19083_001E:Gini Index
06047,0.4719
06043,0.4234
06049,0.4003
06013,0.4672
06027,0.4104
06099,0.4396
06083,0.4815
06103,0.4656
06051,0.415
06069,0.4054
06067,0.4538
06017,0.4556
06053,0.457
06075,0.5099
06073,0.4627
06107,0.4728
06023,0.4841
06003,0.493
06039,0.4422
06087,0.4819
06105,0.4638
06065,0.4572
06071,0.4375
06041,0.5178
06061,0.4467
06089,0.4588
06095,0.4207
06011,0.4554
06021,0.4442
06007,0.4944
06031,0.4272
06063,0.4667
06079,0.4496
06019,0.4746
06029,0.4668
06059,0.4685
06111,0.4455
06009,0.4414
06101,0.453
06081,0.4849
06109,0.4832
06077,0.4529
06005,0.449
06033,0.4817
06115,0.426
06035,0.4171
06097,0.4536
06025,0.4704
06001,0.4616
06055,0.4712
06091,0.4594
06113,0.4928
06057,0.4697
06045,0.4704
06037,0.5002
06085,0.4664
06093,0.4772
06015,0.4743
