state_code,county_code,site_number,arithmetic_mean
06,037,4004,10.626519
06,059,0007,9.060274
06,065,8001,10.79478
06,019,0500,6.310894
06,065,1016,7.305028
06,079,2004,7.004432
06,023,1004,6.78785
06,087,1005,4.711047
06,033,3002,3.141667
06,045,2002,5.294633
06,053,1003,4.143733
06,073,1201,13.752975
06,083,1008,4.816156
06,029,0011,6.52274
06,079,2006,5.285131
06,083,0011,6.831065
06,085,0002,5.821944
06,095,0004,8.624302
06,081,1001,7.061159
06,085,0006,7.410894
06,097,0004,5.678134
06,041,0001,6.38017
06,055,0004,5.923099
06,075,0005,7.667409
06,013,0002,6.866759
06,085,0005,9.085754
06,079,8002,4.197214
06,027,1003,4.344262
06,027,0002,3.322034
06,085,0005,7.876613
06,103,0007,5.429462
06,099,0006,10.698615
06,087,0007,6.505949
06,111,1004,4.713573
06,111,2002,7.396359
06,111,0007,7.255307
06,111,0009,6.269452
06,111,2002,7.686872
06,111,3001,6.565407
06,053,1003,5.669388
06,045,0006,6.005014
06,067,5003,4.778771
06,073,1016,6.485
06,073,1022,8.52209
06,073,1016,6.983333
06,073,0001,8.202586
06,029,0018,4.102778
06,047,0003,9.18078
06,069,0002,4.918258
06,027,1003,5.193956
06,027,0002,4.791785
06,001,0013,9.388636
06,095,0004,8.805587
06,013,1004,7.786325
06,001,0011,7.770028
06,001,0007,6.35
06,001,0009,6.758449
06,001,0012,7.390028
06,001,0015,6.332102
06,029,0010,12.31157
06,101,0003,8.450142
06,107,2002,12.897345
06,019,5025,11.244737
06,039,2010,8.863333
06,057,1001,5.324107
06,099,0005,8.55
06,031,0004,12.325
06,011,1002,7.022951
06,061,0006,6.562712
06,063,1010,11.0
06,089,0004,6.628302
06,079,2007,6.077247
06,063,1006,7.72719
06,067,0010,7.652101
06,019,0011,11.186111
06,029,0014,11.885303
06,019,5001,10.177311
06,029,0016,12.903478
06,061,0006,6.25
06,067,0015,8.385965
06,019,0011,11.580645
06,025,0005,10.779939
06,029,0014,11.371429
06,047,2510,9.553333
06,057,0005,4.221667
06,067,0006,6.242857
06,067,0006,8.398529
06,037,4008,13.225641
06,071,0027,15.536415
06,061,0003,7.162606
06,051,0005,3.193805
06,051,0001,8.529132
06,071,0306,7.030312
06,031,0004,12.027083
06,025,0007,8.370085
06,025,1003,7.938793
06,037,9033,6.133889
06,057,0005,6.250282
06,083,2004,4.619774
06,019,2009,5.718475
06,053,0002,3.668436
06,065,0009,4.573451
06,077,1002,9.058284
06,019,0011,11.06584
06,009,0001,5.460947
06,077,1002,9.375872
06,099,0005,7.668376
06,019,0011,10.570442
06,093,2001,5.825419
06,093,2001,5.815922
06,093,2001,5.825419
06,053,0008,5.523611
06,031,1004,12.172206
06,037,4002,9.018239
06,065,5001,6.073109
06,059,2022,7.13964
06,037,1103,10.867409
06,037,4004,9.239266
06,037,1602,9.95082
06,037,1602,9.898305
06,037,1602,11.343103
06,037,1201,9.188983
06,037,0002,10.691667
06,037,0002,9.686441
06,037,0002,10.691667
06,037,1103,10.445763
06,065,8001,10.884483
06,037,0002,8.703279
06,071,2002,11.473913
06,059,0007,9.402305
06,071,0027,12.791501
06,037,2005,8.711475
06,065,2002,7.369492
06,083,2011,5.012465
06,065,8001,11.193143
06,065,8005,12.691292
06,037,1302,11.026073
06,065,8005,11.988136
06,037,2005,9.139474
06,037,4008,11.013611
06,071,0306,7.574352
06,039,2010,9.681651
06,065,8005,12.236639
06,051,0005,2.645428
06,073,1201,12.770255
06,027,0002,4.077904
06,027,0002,3.89375
06,027,0002,4.077904
06,051,0001,7.52549
