GEOID,nearest_hw_dist_m,hw_count_5km
1400000US37063001706,1371.7563187664753,10
1400000US37183050300,276.2886422442651,43
1400000US37067002701,1049.3394305191835,18
1400000US37183053409,2541.4528341067444,11
1400000US37111970100,1899.796004955862,2
1400000US37119005518,2104.9444811919793,4
1400000US37051003309,2157.8508877435206,14
1400000US37081013700,930.2823029057317,35
1400000US37135010703,321.17356961194287,13
1400000US37097060100,86.77768688534252,19
1400000US37183053723,834.9690009744892,13
1400000US37119005307,1744.3219849931882,38
1400000US37081010404,1347.8139519065896,44
1400000US37119005827,559.2338569122531,24
1400000US37119003108,814.3457838957949,26
1400000US37183051400,1233.1382075133154,40
1400000US37119005306,644.0292581674956,47
1400000US37031980100,32132.868577538295,0
1400000US37049960700,1035.3446826000843,6
1400000US37119004600,602.0166183253375,58
1400000US37183054001,881.2916830561304,26
1400000US37161960200,10117.52425544791,0
1400000US37107010600,1365.0663438689535,7
1400000US37091950100,5404.223003164411,0
1400000US37097060601,855.392744119018,15
1400000US37129011903,1407.2445431267192,24
1400000US37147000301,1664.7215590284598,17
1400000US37119005816,973.8096210112883,8
1400000US37081012511,2473.7729582513484,42
1400000US37017950100,17237.25893810734,0
1400000US37119000600,689.4128221415075,60
1400000US37101041300,13642.625319364499,0
1400000US37073970200,16484.20440958081,0
1400000US37031970603,1597.0047730642634,3
1400000US37031970605,686.1897354084923,6
1400000US37081012610,1427.4712448250568,44
1400000US37141990100,5869.972444222903,0
1400000US37135011400,635.3402186787797,19
1400000US37081014200,805.2244725288402,52
1400000US37063002300,594.7983040328676,25
1400000US37193960400,13712.618748062374,0
1400000US37021000900,924.9722758390374,31
1400000US37067004011,1458.3478054317065,6
1400000US37183051600,1780.143494504452,46
1400000US37177960100,33998.05197271211,0
1400000US37051001000,1890.1742357401006,20
1400000US37045951100,978.5635991096883,11
1400000US37021001300,1611.4916089070475,12
1400000US37119001510,838.8511375892152,21
1400000US37119005840,1566.1383135940873,9
1400000US37067003107,1519.9580504270716,15
1400000US37165010600,11764.531401122385,0
1400000US37119005711,2825.8105323540867,8
1400000US37103920100,19529.592518367248,0
1400000US37071032301,1195.0141407924493,5
1400000US37183053513,1519.724254583114,17
1400000US37081010500,738.7430139901326,51
1400000US37117970400,13854.081849475724,0
1400000US37117970500,7225.891582624951,0
1400000US37117970100,14511.236972722007,0
1400000US37183053106,2571.971348701007,7
1400000US37119005517,4304.340823854507,3
1400000US37183052409,730.8084314805749,39
1400000US37067003909,1262.161597555933,19
1400000US37119001920,1081.0825413903008,25
1400000US37183054014,996.0615457227216,17
1400000US37067002702,786.536582631165,25
1400000US37191001400,1401.7970540795452,11
1400000US37183053204,896.0054525649691,6
1400000US37135012201,3292.1231363637708,10
1400000US37195000501,1238.9705340525556,23
1400000US37081012504,564.8483283156534,62
1400000US37025040900,1890.3173134015185,13
1400000US37119005712,1774.3631905610273,13
1400000US37081014409,1568.602615552216,15
1400000US37063001301,218.39358906698772,23
1400000US37063000900,642.8511544714705,22
1400000US37025042601,1757.6736651592716,12
1400000US37023021302,12137.866687618893,0
1400000US37071032508,4754.630570396116,1
1400000US37183053422,1951.1938942130853,14
1400000US37135011602,699.8027785896592,18
1400000US37183053719,1718.2276800165891,10
1400000US37081010900,313.0626012904104,49
1400000US37163971000,23399.364361005606,0
1400000US37047930500,11738.270163802807,0
1400000US37119001608,1570.6713032166685,35
1400000US37081010601,790.1170690710079,50
1400000US37063002023,1310.3243211909162,14
1400000US37097060701,1898.0017992766961,1
1400000US37119002004,3617.4467703513565,19
1400000US37119001915,631.2547827498634,22
1400000US37055970602,1924.7827426861322,3
1400000US37135011901,1385.562499088839,19
1400000US37067003804,505.3774606416868,15
1400000US37119004500,131.9954887082869,59
1400000US37183054008,923.3636886690664,24
1400000US37183053519,1109.9165298403077,21
1400000US37183052002,1201.8866411220936,33
1400000US37119005403,1990.8907104374987,37
1400000US37119003500,670.0719583861563,53
1400000US37119004305,845.9446451510483,46
1400000US37021002205,2291.1501254038503,12
1400000US37081012611,1866.4775043286008,41
1400000US37067003307,492.102266450947,24
1400000US37063001501,358.1354943318944,26
1400000US37081010200,777.2624755660352,36
1400000US37157041500,807.3167557427662,11
1400000US37075920300,8608.007954828267,0
1400000US37129011100,1271.6395731315997,32
1400000US37051003312,3772.6792052626643,3
1400000US37081010100,1023.3680300065787,28
1400000US37019020504,4010.043457883553,1
1400000US37049960600,1748.6661453668878,6
1400000US37097060300,1011.4641650834287,16
1400000US37051003307,869.5367269462735,5
1400000US37051001902,1405.4034995895381,16
1400000US37119002100,1184.3795481728414,34
1400000US37185950400,17736.747618085086,0
