GEOID,ratio_white,ratio_black,ratio_asian,ratio_hispanic,ratio_other_race,ratio_male,ratio_female,ratio_poverty,ratio_unemployed,ratio_uninsured,med_income
1400000US37001020100,59.51207491375061,28.04337111877772,1.7742730409068506,9.462789551503205,1.0103499260719566,46.6,53.4,20.8,5.6,11.3,34205.0
1400000US37001020200,36.08600048863914,29.24505252870755,4.446616173955534,28.389934033716106,1.832396774981676,43.9,56.1,33.0,6.8,16.8,29797.0
1400000US37001020300,24.77027027027027,28.89189189189189,0.0,44.054054054054056,2.283783783783784,43.8,56.2,17.3,3.5,21.3,40239.0
1400000US37001020400,18.840794544915507,58.58286391935962,0.0,21.049510821227397,1.52683071449748,43.8,56.2,26.8,5.6,16.6,32773.0
1400000US37001020501,69.96595967530767,13.275726630007856,1.440167583136947,14.4802304268133,0.8379156847342237,48.1,51.9,12.2,6.2,13.0,53929.0
1400000US37001020502,31.031904287138584,34.72083748753739,2.318045862412762,23.454636091724826,4.586241276171486,49.8,50.2,22.3,7.3,16.1,38775.0
1400000US37001020601,93.4468358496627,0.9315772566655958,0.5460970125281079,3.629938965628011,1.44555091551558,49.3,50.7,4.2,0.3,2.5,89306.0
1400000US37001020602,88.32448824867323,3.7149355572403335,0.9097801364670204,6.482183472327521,0.5686125852918879,48.3,51.7,5.1,0.9,4.8,65893.0
1400000US37001020701,74.72350693746229,11.321134124271063,0.2815202091292982,9.149406796702191,3.921174341443797,49.9,50.1,8.8,2.5,6.9,55715.0
1400000US37001020702,50.75895567698846,31.329690346083787,0.0,17.911353976927746,0.0,53.3,46.7,24.8,9.8,11.2,34102.0
1400000US37001020801,59.662853702588805,17.218543046357617,3.3714629741119806,17.03792895845876,2.107164358819988,45.9,54.1,8.0,2.6,11.0,50655.0
1400000US37001020802,24.530853761622996,37.54860524091293,1.808960270498732,35.36770921386306,0.7438715131022823,45.0,55.0,27.0,3.3,25.3,28391.0
1400000US37001020901,60.51086318261891,11.890780974750442,2.407516147974164,21.667645331767467,3.523194362889019,47.3,52.7,11.6,1.7,10.4,46522.0
1400000US37001020902,77.39230991616074,12.11332755131541,0.0,9.135588320323793,1.011853136744724,47.2,52.8,7.6,2.1,7.6,62500.0
1400000US37001021000,34.40860215053764,35.95898974743686,0.4251062765691422,24.706176544136035,4.50112528132033,45.7,54.3,40.2,6.8,19.4,23947.0
1400000US37001021101,58.97718910963944,29.94849153789551,0.4782928623988227,5.702722590139809,2.869757174392936,51.0,49.0,10.6,2.7,6.7,43098.0
1400000US37001021102,61.73938854259424,24.04274265360641,0.771742356782428,9.85455624814485,3.591570198872069,47.5,52.5,22.1,1.2,12.1,33715.0
1400000US37001021201,52.90206648697215,26.954177897574123,0.0539083557951482,19.245283018867926,0.844564240790656,48.8,51.2,10.2,1.2,21.6,37429.0
1400000US37001021204,69.4935691318328,15.47427652733119,0.0,10.269292604501608,4.662379421221865,50.5,49.5,12.1,1.9,8.3,56515.0
1400000US37001021205,61.18594436310395,27.67203513909224,3.70424597364568,5.329428989751098,2.108345534407028,42.4,57.6,9.8,4.5,4.6,54333.0
1400000US37001021206,58.83873533505667,27.003380393716448,0.0,8.013521574865779,6.144362696361105,49.7,50.3,10.1,3.4,9.6,62623.0
1400000US37001021207,78.73993095512083,7.105868814729574,1.150747986191024,10.845799769850403,2.15765247410817,53.2,46.8,12.9,4.4,7.9,57625.0
1400000US37001021300,64.8720505151213,28.148886673313395,0.7976071784646062,4.187437686939183,1.8610834164174144,49.0,51.0,8.8,3.1,8.9,61203.0
1400000US37001021400,89.8471615720524,4.839883551673944,0.0,5.058224163027656,0.2547307132459971,51.2,48.8,12.5,3.5,9.1,53372.0
1400000US37001021500,86.32352941176471,7.668067226890757,0.0,4.873949579831933,1.0294117647058822,51.1,48.9,7.8,3.9,7.7,58071.0
1400000US37001021600,76.92307692307693,11.690718919634582,2.422878326492784,5.732821395471998,3.2305044353237125,39.5,60.5,11.7,2.1,8.3,53342.0
1400000US37001021701,87.41258741258741,9.324009324009324,1.5734265734265735,1.5442890442890442,0.1456876456876457,44.8,55.2,2.7,0.0,1.6,82963.0
1400000US37001021702,82.02864997829548,6.829691795688034,2.459846621328317,7.292721747938071,1.3890898567501084,44.8,55.2,35.8,1.8,5.6,67875.0
1400000US37001021703,65.74594257178526,14.216604244694132,14.66916354556804,2.6997503121098627,2.6685393258426964,49.0,51.0,5.6,3.8,7.4,69870.0
1400000US37001021801,89.2754219843557,5.187319884726225,0.0,2.573075339645945,2.9641827912721284,49.0,51.0,11.7,1.3,12.5,59561.0
1400000US37001021802,93.80176329147744,2.8319529788939355,0.3473149879775581,0.4541811381244991,2.564787603526583,47.4,52.6,9.7,1.0,9.5,52132.0
1400000US37001021803,90.3573629081947,3.9741219963031424,0.0,3.265557609365373,2.4029574861367835,49.1,50.9,6.8,1.2,15.2,50179.0
1400000US37001021901,88.15106868644948,3.7559659680431614,0.3527702842913467,5.16704710520855,2.57314795600747,50.8,49.2,7.9,2.0,9.5,71639.0
