GEOID,Asthma_prev,geometry
1400000US37003040200,10.1,POINT (-81.24199315 35.97743191)
1400000US37007920100,11.1,POINT (-79.94045847 34.98561551)
1400000US37005950200,10.3,POINT (-81.11882812 36.5203712)
1400000US37013930200,10.2,POINT (-77.01839101 35.64050023)
1400000US37001021400,9.5,POINT (-79.40486736 36.18861463)
1400000US37009970800,9.3,POINT (-81.3700813 36.45728586)
1400000US37001021201,10.8,POINT (-79.35292845 36.10681696)
1400000US37007920600,11.0,POINT (-80.11364876 34.86172789)
1400000US37001021205,9.6,POINT (-79.28313735 36.07205032)
1400000US37001021101,10.1,POINT (-79.37630953 36.06983861)
1400000US37001021207,10.1,POINT (-79.29167487 36.10562005)
1400000US37009970400,9.4,POINT (-81.53683261 36.41045141)
1400000US37001022002,10.4,POINT (-79.28707488 35.97462105)
1400000US37001020602,8.5,POINT (-79.46255492 36.09597676)
1400000US37007920300,9.4,POINT (-80.23523999 35.03805615)
1400000US37001021500,9.5,POINT (-79.47998721 36.1994891)
1400000US37009970500,9.5,POINT (-81.45184151 36.42278396)
1400000US37005950100,10.1,POINT (-81.00792674 36.48288799)
1400000US37001021703,9.0,POINT (-79.51662788 36.05277182)
1400000US37001020100,10.4,POINT (-79.44556762 36.09148929)
1400000US37001020901,9.3,POINT (-79.41730332 36.05481126)
1400000US37011930400,8.9,POINT (-81.9798569 35.9886239)
1400000US37009970300,10.1,POINT (-81.6554828 36.47285021)
1400000US37001021702,10.2,POINT (-79.50785869 36.09277483)
1400000US37001021902,9.2,POINT (-79.32834123 35.88775538)
1400000US37013930400,10.7,POINT (-77.04353886 35.56584943)
1400000US37001021701,7.8,POINT (-79.52969313 36.09199186)
1400000US37001021803,9.8,POINT (-79.47772537 35.87793157)
1400000US37001020300,10.8,POINT (-79.39659461 36.098578)
1400000US37005950300,9.7,POINT (-81.22667029 36.49075746)
1400000US37011930200,8.8,POINT (-81.83649873 36.05351922)
1400000US37003040300,9.7,POINT (-81.27830925 35.88745518)
1400000US37007920500,10.5,POINT (-80.10165718 34.94483767)
1400000US37003040600,9.1,POINT (-81.19463227 35.85389237)
1400000US37001020501,9.9,POINT (-79.47743295 36.11563297)
1400000US37003040700,9.3,POINT (-81.30146336 35.82832566)
1400000US37007920200,10.7,POINT (-80.10512262 35.0993076)
1400000US37001020801,9.9,POINT (-79.45008276 36.04904026)
1400000US37007920400,12.3,POINT (-80.07965793 35.01142777)
1400000US37009970700,8.7,POINT (-81.51986574 36.32659171)
1400000US37001021102,10.2,POINT (-79.38121984 36.04036364)
1400000US37013930300,12.0,POINT (-77.06530307 35.55659382)
1400000US37001021801,9.1,POINT (-79.4952231 35.98582877)
1400000US37003040100,9.8,POINT (-81.07347192 35.97528039)
1400000US37009970200,9.8,POINT (-81.5432142 36.52824674)
1400000US37001021206,9.4,POINT (-79.30597548 36.08556387)
1400000US37001021300,10.0,POINT (-79.31602661 36.18535392)
1400000US37001021600,10.8,POINT (-79.51289559 36.13794492)
1400000US37001020601,8.1,POINT (-79.48309888 36.0902294)
1400000US37001022001,9.6,POINT (-79.33416632 35.99827383)
1400000US37001021000,12.3,POINT (-79.39798064 36.07720584)
1400000US37001021802,9.6,POINT (-79.43973959 35.94241388)
1400000US37011930302,10.1,POINT (-82.01148317 36.09579731)
1400000US37011930301,10.0,POINT (-81.94052395 36.11281077)
1400000US37001021901,9.5,POINT (-79.38094553 35.97709684)
1400000US37003040500,9.8,POINT (-81.09591925 35.86312839)
1400000US37001020400,11.8,POINT (-79.43243943 36.121753)
1400000US37013930100,10.0,POINT (-76.69500188 35.60883453)
1400000US37001020701,9.2,POINT (-79.48068646 36.06995004)
1400000US37003040400,10.2,POINT (-81.17581152 35.91992524)
1400000US37001021204,9.7,POINT (-79.31452186 36.04646612)
1400000US37001020200,11.7,POINT (-79.41953093 36.09192369)
1400000US37001020802,12.3,POINT (-79.42755955 36.07795925)
1400000US37001020702,10.9,POINT (-79.46241806 36.06269923)
1400000US37001020502,11.2,POINT (-79.45258383 36.11392134)
1400000US37001020902,9.4,POINT (-79.41390068 36.03231745)
1400000US37011930100,10.1,POINT (-81.90350526 36.19745616)
1400000US37021002000,9.9,POINT (-82.52359335 35.56243928)
1400000US37063000900,11.8,POINT (-78.88601205 35.99995631)
1400000US37051001601,9.9,POINT (-78.94650872 34.97182589)
1400000US37025042200,8.9,POINT (-80.56098657 35.39236034)
1400000US37027030100,11.3,POINT (-81.54137894 35.91660897)
1400000US37037020600,10.0,POINT (-79.27893085 35.6086646)
1400000US37039930602,9.6,POINT (-84.23871878 35.04475108)
1400000US37045950500,10.6,POINT (-81.34896047 35.22817625)
1400000US37063001301,11.8,POINT (-78.89943947 35.98028579)
1400000US37057060400,9.6,POINT (-80.2304501 35.88989892)
1400000US37045951300,9.4,POINT (-81.58641483 35.31725941)
1400000US37015960100,10.5,POINT (-76.83666081 36.13741458)
1400000US37021002603,10.4,POINT (-82.78927381 35.64608103)
1400000US37049961201,10.2,POINT (-76.91753069 34.92891407)
1400000US37035010501,8.3,POINT (-81.34364939 35.75152142)
1400000US37021000300,10.3,POINT (-82.57073936 35.60627045)
1400000US37023021201,9.9,POINT (-81.59184512 35.69768706)
1400000US37031970103,9.6,POINT (-76.5476173 34.74988353)
1400000US37051003403,10.5,POINT (-79.01767836 35.1410779)
1400000US37035011102,9.2,POINT (-81.3239425 35.68588048)
1400000US37035010202,9.6,POINT (-81.23033341 35.73741685)
1400000US37051003314,10.5,POINT (-79.04933243 35.04595502)
1400000US37051002100,9.8,POINT (-78.9391178 35.07599104)
1400000US37047931200,10.5,POINT (-78.82782093 34.14659999)
1400000US37063001604,8.0,POINT (-78.95495434 36.09304251)
1400000US37025042502,9.4,POINT (-80.62138186 35.40555468)
1400000US37051001700,10.7,POINT (-78.94216232 35.0100026)
1400000US37063002009,11.3,POINT (-78.89766934 35.96071351)
1400000US37031970504,8.6,POINT (-76.71105144 34.74290192)
1400000US37017950200,11.0,POINT (-78.67807471 34.76624502)
1400000US37051001604,10.2,POINT (-78.91231226 34.99240476)
1400000US37059080500,9.7,POINT (-80.53020966 35.90212535)
1400000US37051000701,8.4,POINT (-78.93509073 35.05528897)
1400000US37027030300,10.9,POINT (-81.55618149 35.8783886)
1400000US37035011801,9.0,POINT (-81.39366811 35.65466393)
1400000US37037020500,9.7,POINT (-79.46867694 35.58160714)
1400000US37021002203,9.6,POINT (-82.53263875 35.45435919)
1400000US37019020505,10.4,POINT (-78.54181187 33.99359345)
1400000US37051003205,9.8,POINT (-79.01647582 35.02655135)
1400000US37063002015,9.6,POINT (-78.9473533 35.96795248)
1400000US37057061400,12.5,POINT (-80.23885977 35.81994238)
1400000US37051003311,10.5,POINT (-79.00512686 35.06149283)
1400000US37023020802,9.9,POINT (-81.6318537 35.73751419)
1400000US37021002900,9.4,POINT (-82.41692959 35.76591748)
1400000US37035010302,8.7,POINT (-81.29920223 35.78303204)
1400000US37035010401,9.7,POINT (-81.31051569 35.75741112)
1400000US37049961001,8.3,POINT (-77.05346072 35.00381859)
1400000US37013930900,9.4,POINT (-76.96826 35.38861184)
1400000US37037020800,8.8,POINT (-79.14610544 35.71670643)
1400000US37021001500,9.7,POINT (-82.58808735 35.63093287)
1400000US37051003204,10.5,POINT (-78.992802 35.0188061)
